ID,Master,Master Residence,Registree,Status,Sex,Origin,Age,Occupation,Registration Date,Registration District,Sources,Registration District Latitude,Registration District Longitude,Origin Latitude,Origin Longitude,Runaway at Registration,Transfer Date,Escape Date,Freedom Date,Death Date,Codice,Senhores,Morada,Registrados,Naturalidade,Ofícios,,,,,,,,,,,,,
21,Zacarias Herculano da Silva,Unspecified,Esperança,Slave,Female,(Unknown) Maxanga,10.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 2v-3v.",-21.64915,35.46723,-27.786863,40.071297,,,,,,1166,Zacarias Herculano da Silva,,Esperança,Maxanga,Nao tem,,,,,,,,,,,,,
22,José Duarte,Sofala,Mariana,Slave,Female,(Sofala) Sofala,17.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 2v-3v.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,José Duarte,,Mariana,Sofala,Nenhum,,,,,,,,,,,,,
23,Guilherme Hermenegildo Ezequiel da Silva,Unspecified,Gamboa,Slave,Male,(Sofala) Sofala,24.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 2v-3v.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,Guilherme Hermenegildo Ezequiel da Silva,,Gamboa,Sofala,Nao tem,,,,,,,,,,,,,
24,Guilherme Hermenegildo Ezequiel da Silva,Unspecified,Benedito,Slave,Male,(Sofala) Sofala,6.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 2v-3v.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,Guilherme Hermenegildo Ezequiel da Silva,,Benedito,Sofala,Nao tem,,,,,,,,,,,,,
25,Guilherme Hermenegildo Ezequiel da Silva,Unspecified,Bazaruto,Slave,Male,(Unknown) Maxanga,8.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 3v-4.",-21.64915,35.46723,-27.786863,40.071297,,,,,,1166,Guilherme Hermenegildo Ezequiel da Silva,,Bazaruto,Maxanga,Nenhum,,,,,,,,,,,,,
26,Guilherme Hermenegildo Ezequiel da Silva,Unspecified,Perca,Slave,Female,(Sofala) Sofala,27.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 3v-4.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,Guilherme Hermenegildo Ezequiel da Silva,,Perca,Sofala,Nao tem,,,,,,,,,,,,,
27,Guilherme Hermenegildo Ezequiel da Silva,Unspecified,Águida,Slave,Female,(Sofala) Sofala,14.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 3v-4.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,Guilherme Hermenegildo Ezequiel da Silva,,Águida,Sofala,Nao tem,,,,,,,,,,,,,
28,Guilherme Hermenegildo Ezequiel da Silva,Unspecified,Zemuándicta,Slave,Female,(Sofala) Sofala,8.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 3v-4.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,Guilherme Hermenegildo Ezequiel da Silva,,Zemuándicta,Sofala,Nao tem,,,,,,,,,,,,,
29,"Antónia Ludovina da Silva, D.",Unspecified,Francisco,Slave,Male,(Sofala) Sofala,12.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 3v-4.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,"Antónia Ludovina da Silva, D.",,Francisco,Sofala,Nao tem,,,,,,,,,,,,,
30,"Antónia Ludovina da Silva, D.",Unspecified,Amaro,Slave,Male,(Sofala) Sofala,2.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 3v-4.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,"Antónia Ludovina da Silva, D.",,Amaro,Sofala,Nao tem,,,,,,,,,,,,,
31,"Antónia Ludovina da Silva, D.",Unspecified,Antónia,Slave,Female,(Sofala) Sofala,60.0,Midwife,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 3v-4.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,"Antónia Ludovina da Silva, D.",,Antónia,Sofala,Parteira,,,,,,,,,,,,,
32,"Antónia Ludovina da Silva, D.",Unspecified,Micaela,Slave,Female,(Sofala) Sofala,40.0,Cook,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 4v-5.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,"Antónia Ludovina da Silva, D.",,Micaela,Sofala,Cozinheiro,,,,,,,,,,,,,
33,"Antónia Ludovina da Silva, D.",Unspecified,Zemungoda,Slave,Female,(Sofala) Sofala,35.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 4v-5.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,"Antónia Ludovina da Silva, D.",,Zemungoda,Sofala,Não tem,,,,,,,,,,,,,
34,"Antónia Ludovina da Silva, D.",Unspecified,Luísa,Slave,Female,(Sofala) Sofala,25.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 4v-5.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,"Antónia Ludovina da Silva, D.",,Luísa,Sofala,Não tem,,,,,,,,,,,,,
35,"Antónia Ludovina da Silva, D.",Unspecified,Arinamaia,Slave,Female,(Sofala) Sofala,40.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 4v-5.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,"Antónia Ludovina da Silva, D.",,Arinamaia,Sofala,Não tem,,,,,,,,,,,,,
36,"Antónia Ludovina da Silva, D.",Unspecified,Cada Vez,Slave,Female,(Sofala) Sofala,10.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 4v-5.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,"Antónia Ludovina da Silva, D.",,Cada Vez,Sofala,Não tem,,,,,,,,,,,,,
37,João Martins da Silva,Unspecified,Vamos Haver,Slave,Male,(Tete) Tete,12.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 4v-5.",-21.64915,35.46723,-16.13281,33.60638,,,,,,1166,João Martins da Silva,,Vamos Haver,Tete,Não tem,,,,,,,,,,,,,
38,João Martins da Silva,Unspecified,Bemelizia,Slave,Female,(Unspecified),12.0,Unspecified,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 4v-5.",-21.64915,35.46723,#N/A,#N/A,,,,,,1166,João Martins da Silva,,Bemelizia,,,,,,,,,,,,,,,
39,"Carolina Xavier da Fonseca, D.",Santa Carolina,José Pinto,Slave,Male,(Moçambique) Moçambique,28.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 5v-6.",-21.64915,35.46723,-15.0359,40.73486,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,José Pinto,Moçambique,Não tem,,,,,,,,,,,,,
40,"Carolina Xavier da Fonseca, D.",Santa Carolina,Constantino,Slave,Male,(Moçambique) Moçambique,25.0,Mugeimo,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 5v-6.",-21.64915,35.46723,-15.0359,40.73486,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Constantino,Moçambique,Muinuto,,,,,,,,,,,,,
41,"Carolina Xavier da Fonseca, D.",Santa Carolina,Manoel,Slave,Male,(Makhuwa) Macuane,24.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 5v-6.",-21.64915,35.46723,-15.120919,39.268814,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Manoel,Macuane,Não tem,,,,,,,,,,,,,
42,"Carolina Xavier da Fonseca, D.",Santa Carolina,Herculano,Slave,Male,(Moçambique) Moçambique,18.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 5v-6.",-21.64915,35.46723,-15.0359,40.73486,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Herculano,Moçambique,Não tem,,,,,,,,,,,,,
43,"Carolina Xavier da Fonseca, D.",Santa Carolina,João,Slave,Male,(Inhambane) Inhambane,26.0,Carpenter,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 5v-6.",-21.64915,35.46723,-23.87328,35.4103,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,João,Inhambane,Carpinteiro,,,,,,,,,,,,,
44,"Carolina Xavier da Fonseca, D.",Santa Carolina,Marcos,Slave,Male,(Makhuwa) Macuane,28.0,Carpenter,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 5v-6.",-21.64915,35.46723,-15.120919,39.268814,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Marcos,Macuane,Carpinteiro,,,,,,,,,,,,,
45,"Carolina Xavier da Fonseca, D.",Santa Carolina,Duarte,Slave,Male,(Makhuwa) Macuane,20.0,Carpenter,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 5v-6.",-21.64915,35.46723,-15.120919,39.268814,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Duarte,Macuane,Carpinteiro,,,,,,,,,,,,,
46,"Carolina Xavier da Fonseca, D.",Santa Carolina,Ussene,Slave,Male,(Moçambique) Moçambique,28.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 6v-7.",-21.64915,35.46723,-15.0359,40.73486,,,,,1856-08-10,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Ussene,Moçambique,Não tem,,,,,,,,,,,,,
47,"Carolina Xavier da Fonseca, D.",Santa Carolina,João,Slave,Male,(Makhuwa) Macuane,18.0,Mason,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 6v-7.",-21.64915,35.46723,-15.120919,39.268814,,,,,1856-08-10,1166,"Carolina Xavier da Fonseca, D.",Moçambique,João,Macuane,Pedreiro,,,,,,,,,,,,,
48,"Carolina Xavier da Fonseca, D.",Santa Carolina,Mafutá,Slave,Male,(Makhuwa) Macuane,30.0,Blacksmith,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 6v-7.",-21.64915,35.46723,-15.120919,39.268814,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Mafutá,Macuane,Ferreiro,,,,,,,,,,,,,
49,"Carolina Xavier da Fonseca, D.",Santa Carolina,João,Slave,Male,(Makhuwa) Macuane,28.0,Cook,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 6v-7.",-21.64915,35.46723,-15.120919,39.268814,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,João,Macuane,Cozinheiro,,,,,,,,,,,,,
50,"Carolina Xavier da Fonseca, D.",Santa Carolina,José,Slave,Male,(Tete) Tete,16.0,Horn maker,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 6v-7.",-21.64915,35.46723,-16.13281,33.60638,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,José,Tete,Corneteiro,,,,,,,,,,,,,
51,"Carolina Xavier da Fonseca, D.",Santa Carolina,Bento,Slave,Male,(Makhuwa) Macuana,22.0,Mainato,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 6v-7.",-21.64915,35.46723,-15.120919,39.268814,,,,Unspecified,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Bento,Macuana,Maunato Emgemador,,,,,,,,,,,,,
52,"Carolina Xavier da Fonseca, D.",Santa Carolina,Fortuna,Slave,Male,(Inhambane) Inhambane,20.0,Cook,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 6v-7.",-21.64915,35.46723,-23.87328,35.4103,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Fortuna,Inhambane,Cozinheiro,,,,,,,,,,,,,
53,"Carolina Xavier da Fonseca, D.",Santa Carolina,Cipriano,Slave,Male,(Tsonga) Landim,45.0,Mason,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 7v-8.",-21.64915,35.46723,-25.921368,32.576575,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Cipriano,Landim,Pedreiro,,,,,,,,,,,,,
54,"Carolina Xavier da Fonseca, D.",Santa Carolina,Joaquim,Slave,Male,(Unknown) Munapo,30.0,Mason,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 7v-8.",-21.64915,35.46723,-27.786863,40.071297,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Joaquim,Munapo,Pedreiro,,,,,,,,,,,,,
55,"Carolina Xavier da Fonseca, D.",Santa Carolina,Fortuna,Slave,Male,(Quelimane) Quelimane,24.0,Mason,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 7v-8.",-21.64915,35.46723,-17.87368,36.88194,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Fortuna,Quelimane,Pedreiro,,,,,,,,,,,,,
56,"Carolina Xavier da Fonseca, D.",Santa Carolina,Pimpão,Slave,Male,(Tete) Tete,16.0,Mason,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 7v-8.",-21.64915,35.46723,-16.13281,33.60638,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Pimpão,Tete,Pedreiro,,,,,,,,,,,,,
57,"Carolina Xavier da Fonseca, D.",Santa Carolina,Alface,Slave,Male,(Unknown) Dacalinda,25.0,Mason,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 7v-8.",-21.64915,35.46723,-27.786863,40.071297,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Alface,Dacalinda,Pedreiro,,,,,,,,,,,,,
58,"Carolina Xavier da Fonseca, D.",Santa Carolina,Ajudante,Slave,Male,(Yao) Chalau,15.0,Mason,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 7v-8.",-21.64915,35.46723,-15.02263,36.36115,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Ajudante,Chalau,Pedreiro,,,,,,,,,,,,,
59,"Carolina Xavier da Fonseca, D.",Santa Carolina,Rungoana,Slave,Male,(Inhambane) Inhambane,20.0,Shoemaker,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 7v-8.",-21.64915,35.46723,-23.87328,35.4103,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Rungoana,Inhambane,Sapateiro,,,,,,,,,,,,,
60,"Carolina Xavier da Fonseca, D.",Santa Carolina,Inácio,Slave,Male,(Quelimane) Quelimane,40.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 8v-9.",-21.64915,35.46723,-17.87368,36.88194,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Inácio,Quelimane,Não tem,,,,,,,,,,,,,
61,"Carolina Xavier da Fonseca, D.",Santa Carolina,António,Slave,Male,(Makhuwa) Macuane,28.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 8v-9.",-21.64915,35.46723,-15.120919,39.268814,,1859-09-29,,,1859-11-00,1166,"Carolina Xavier da Fonseca, D.",Moçambique,António,Macuane,Não tem,,,,,,,,,,,,,
62,"Carolina Xavier da Fonseca, D.",Santa Carolina,Pedro,Slave,Male,(Yao) Mujau,30.0,Caulker,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 8v-9.",-21.64915,35.46723,-15.02263,36.36115,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Pedro,Mujau,Calafate,,,,,,,,,,,,,
63,"Carolina Xavier da Fonseca, D.",Santa Carolina,António,Slave,Male,(Maravi) Marave,26.0,Caulker,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 8v-9.",-21.64915,35.46723,-13.99341,33.80634,,1859-09-29,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,António,Marave,Calafate,,,,,,,,,,,,,
64,"Carolina Xavier da Fonseca, D.",Santa Carolina,Miguel,Slave,Male,(Sofala) Sofala,13.0,Drummer,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 8v-9.",-21.64915,35.46723,-20.02436,34.74092,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Miguel,Sofala,Tambor,,,,,,,,,,,,,
65,"Carolina Xavier da Fonseca, D.",Santa Carolina,Francisco,Slave,Male,(Quelimane) Quelimane,13.0,None,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 8v-9.",-21.64915,35.46723,-17.87368,36.88194,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Francisco,Quelimane,Não tem,,,,,,,,,,,,,
66,"Carolina Xavier da Fonseca, D.",Santa Carolina,Cussete,Slave,Male,(Unknown) Matibana,20.0,Unspecified,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 8v-9.",-21.64915,35.46723,-27.786863,40.071297,,Unspecified,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Cussete,Matibana,,,,,,,,,,,,,,
67,"Carolina Xavier da Fonseca, D.",Santa Carolina,Cada Vez,Slave,Female,(Yao) Mujau,26.0,Baker,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 9v-10.",-21.64915,35.46723,-15.02263,36.36115,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Cada Vez,Mujau,Padeira,,,,,,,,,,,,,
68,"Carolina Xavier da Fonseca, D.",Santa Carolina,Francisca,Slave,Female,(Tsonga) Landim,15.0,Seamster,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 9v-10.",-21.64915,35.46723,-25.921368,32.576575,,,,Unspecified,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Francisca,Landim,Costureira,,,,,,,,,,,,,
69,"Carolina Xavier da Fonseca, D.",Santa Carolina,Florência,Slave,Female,(S Carolina) S. Carolina,0.5,Unspecified,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 9v-10.",-21.64915,35.46723,-21.62,35.34,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Florência,S. Carolina,,,,,,,,,,,,,,
70,"Carolina Xavier da Fonseca, D.",Santa Carolina,Reza,Slave,Female,(Moçambique) Moçambique,15.0,Seamster,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 9v-10.",-21.64915,35.46723,-15.0359,40.73486,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Reza,Moçambique,Costureira,,,,,,,,,,,,,
71,"Carolina Xavier da Fonseca, D.",Santa Carolina,Teodosa,Slave,Female,(Makhuwa) Macuana,24.0,Baker,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 9v-10.",-21.64915,35.46723,-15.120919,39.268814,,,,Unspecified,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Teodosa,Macuana,Padeira,,,,,,,,,,,,,
72,"Carolina Xavier da Fonseca, D.",Santa Carolina,Carolina,Slave,Female,(Moçambique) Moçambique,3.0,Unspecified,1856-08-09,Bazaruto,"AHM, Fundo do Século XIX, Códices, 11-1166, ff. 9v-10.",-21.64915,35.46723,-15.0359,40.73486,,,,,,1166,"Carolina Xavier da Fonseca, D.",Moçambique,Carolina,Moçambique,,,,,,,,,,,,,,
